symbol,timestamp,direction,requested_price,fill_price,volume,slippage_bps,market_impact_bps,total_cost_bps,latency_ms,position,portfolio_value,trade_type,closed,pnl,pnl_pct,entry_price,exit_price
XAUUSD,2020-03-21,BUY,1751.204133663211,1751.7721010045477,0.03997249586978322,3.2432960293934303,0.4999999903883007,3.743296019781731,281.80259081230037,0.03997249586978322,10000.0,OPEN_LONG,,,,,
XAUUSD,2020-03-22,BUY,1745.6236686295156,1746.1464392364935,0.04010650850845584,2.99474976406773,0.49999998034351945,3.4947497444112496,159.8674379334192,0.04010650850845584,10001.552931207367,OPEN_LONG,,,,,
XAUUSD,2020-03-23,BUY,1747.7409758492909,1748.293729461063,0.040057027779038926,3.162674672107112,0.5000000069099972,3.662674679017109,162.81367230476735,0.040057027779038926,10001.329831451378,OPEN_LONG,,,,,
XAUUSD,2020-03-24,BUY,1710.7391622647776,1711.2564899291056,0.040923774223311185,3.0240008280575825,0.49999998180144706,3.5240008098590296,246.6783418079986,0.040923774223311185,10001.414747357183,OPEN_LONG,,,,,
XAUUSD,2020-03-25,BUY,1697.111857405646,1697.6345737334213,0.04124626644922179,3.080034621726776,0.5000000125487198,3.5800346342754956,214.9650612611025,0.04124626644922179,9999.932552098138,OPEN_LONG,,,,,
XAUUSD,2020-03-26,BUY,1700.2750004108884,1700.8170319512958,0.041167237453396024,3.1879051346187626,0.49999999988027694,3.6879051344990397,240.32209673932653,0.041167237453396024,9999.374953998295,OPEN_LONG,,,,,
XAUUSD,2020-03-27,BUY,1671.2599713311013,1671.7813652037014,0.0418824953045386,3.1197652163287106,0.5000000085768391,3.61976522490555,246.50690729534517,0.0418824953045386,9999.505414562595,OPEN_LONG,,,,,
XAUUSD,2020-03-28,BUY,1681.0125592159104,1681.5654639406137,0.041634535166918625,3.2891171554431198,0.49999998238661586,3.7891171378297357,246.11888527809188,0.041634535166918625,9998.310930386671,OPEN_LONG,,,,,
XAUUSD,2020-03-29,BUY,1666.203544008186,1666.655901611571,0.04200629368594622,2.714900019337634,0.5000000168024245,3.214900036140058,204.9792451287506,0.04200629368594622,9998.719344310326,OPEN_LONG,,,,,
XAUUSD,2020-03-30,BUY,1659.2464673219288,1659.8113706380068,0.04217982117001692,3.404577482631537,0.5000000098458901,3.9045774924774275,201.83218969972106,0.04217982117001692,9998.102752660185,OPEN_LONG,,,,,
XAUUSD,2020-03-31,BUY,1644.602623054805,1645.0501196901002,0.04255415425382991,2.7210015904269014,0.50000002339269,3.2210016138195914,284.72161271259495,0.04255415425382991,9997.810529675351,OPEN_LONG,True,,,,
XAUUSD,2020-04-11,SELL,1607.0405516261699,1606.5387931893347,0.04353920422236156,3.122251248280312,0.49999998393731276,3.622251232217625,56.55307074048574,-0.04353920422236156,9995.609538695484,OPEN_SHORT,,-1.6388169284331855,-0.0234104274634626,1645.0501196901002,1606.5387931893347
